id,time,latitude,longitude,depth,mag,place
av93757693,2025-09-09T10:36:43.940Z,54.75,-163.99,-1.05,0.76,"38 km WSW of False Pass, Alaska"
us7000quza,2025-09-09T10:35:22.352Z,55.45,166.32,10.00,4.70,"255 km ESE of Ust’-Kamchatsk Staryy, Russia"
nc75235402,2025-09-09T10:27:50.750Z,38.83,-122.82,1.68,0.65,"8 km NNW of The Geysers, CA"
nc75235397,2025-09-09T10:23:51.540Z,38.80,-122.82,1.64,0.76,"6 km NW of The Geysers, CA"
nc75235392,2025-09-09T10:23:48.270Z,38.80,-122.82,2.33,-0.09,"6 km WNW of The Geysers, CA"
tx2025rtnxsy,2025-09-09T10:22:58.281Z,32.13,-101.50,6.67,0.70,"12 km W of Forsan, Texas"
av93757668,2025-09-09T10:22:31.760Z,54.76,-163.98,-1.48,0.61,"38 km WSW of False Pass, Alaska"
ak025bkxi53t,2025-09-09T10:20:29.697Z,64.75,-148.78,17.60,1.10,"22 km NE of Four Mile Road, Alaska"
pr71495198,2025-09-09T10:05:09.010Z,17.96,-66.88,15.21,2.01,"2 km SSE of Maria Antonia, Puerto Rico"
ci41286912,2025-09-09T10:03:55.210Z,33.36,-116.36,11.91,0.59,"11 km N of Borrego Springs, CA"
nc75235387,2025-09-09T10:01:59.000Z,37.59,-122.45,7.53,0.55,"4 km SE of Pacifica, CA"
ok2025rriw,2025-09-09T09:55:59.130Z,35.32,-97.94,7.21,1.15,"1 km N of Minco, Oklahoma"
ak025bkx2xzj,2025-09-09T09:49:39.033Z,64.76,-150.78,11.80,1.10,"27 km SSW of Manley Hot Springs, Alaska"
hv74771027,2025-09-09T09:41:15.580Z,19.97,-155.60,-1.02,1.96,"9 km SE of Waimea, Hawaii"
ci41286904,2025-09-09T09:39:15.360Z,34.27,-118.65,9.60,0.97,"4 km WNW of Chatsworth, CA"
nc75235382,2025-09-09T09:37:48.380Z,36.08,-120.18,5.61,1.43,"9 km NNW of Avenal, CA"
ok2025rrid,2025-09-09T09:32:23.550Z,35.62,-98.04,5.85,1.63,"7 km ENE of Calumet, Oklahoma"
us7000quyx,2025-09-09T09:31:44.421Z,42.50,-126.59,10.00,2.90,"174 km W of Port Orford, Oregon"
ci41286888,2025-09-09T09:13:28.420Z,33.18,-116.31,10.68,0.40,"10 km SE of Borrego Springs, CA"
nc75235377,2025-09-09T09:09:58.300Z,36.08,-120.19,3.18,1.06,"11 km NNW of Avenal, CA"
pr71495183,2025-09-09T09:05:51.340Z,17.93,-66.77,47.27,2.30,"8 km SE of Indios, Puerto Rico"
nn00904033,2025-09-09T09:02:34.761Z,36.87,-116.09,2.90,-0.50,"50 km NW of Indian Springs, Nevada"
nc75235372,2025-09-09T09:01:47.890Z,37.59,-122.45,7.49,0.56,"4 km SE of Pacifica, CA"
us7000quyt,2025-09-09T09:01:31.035Z,31.48,-115.63,5.00,2.30,"61 km ENE of San Vicente, Mexico"
ok2025rrgy,2025-09-09T08:56:15.910Z,35.32,-97.94,6.57,0.99,"0 km NNE of Minco, Oklahoma"
uw62177292,2025-09-09T08:55:27.370Z,43.48,-121.81,6.05,0.78,"32 km SW of La Pine, Oregon"
ci41286872,2025-09-09T08:54:17.690Z,35.88,-117.68,5.47,0.47,"22 km ESE of Little Lake, CA"
ci41286864,2025-09-09T08:50:01.340Z,33.24,-116.03,6.81,0.64,"9 km SW of Salton City, CA"
ak025bkwg81f,2025-09-09T08:43:38.438Z,60.96,-150.30,42.40,1.30,"21 km E of Point Possession, Alaska"
ci41286856,2025-09-09T08:41:58.390Z,33.03,-116.41,10.63,1.01,"19 km ESE of Julian, CA"
ci41286848,2025-09-09T08:34:29.090Z,33.34,-116.34,12.46,0.58,"9 km NNE of Borrego Springs, CA"
tx2025rtkark,2025-09-09T08:25:40.881Z,31.65,-104.30,7.59,1.10,"58 km S of Whites City, New Mexico"
nc75235362,2025-09-09T08:24:41.410Z,38.84,-122.81,2.07,0.72,"7 km WNW of Cobb, CA"
ci41286840,2025-09-09T08:23:35.330Z,35.64,-117.44,4.90,0.67,"14 km SSW of Searles Valley, CA"
ak025bkwbwjg,2025-09-09T08:23:23.162Z,62.19,-149.50,7.60,1.10,"18 km E of Susitna North, Alaska"
ci41286832,2025-09-09T08:22:23.800Z,35.90,-117.67,3.78,1.02,"22 km ESE of Little Lake, CA"
uw62177262,2025-09-09T08:21:06.460Z,43.47,-121.81,6.30,0.83,"33 km SW of La Pine, Oregon"
ak025bkwaguo,2025-09-09T08:16:53.286Z,62.22,-148.37,45.70,0.90,"46 km N of Chickaloon, Alaska"
nc75235357,2025-09-09T08:15:22.240Z,39.52,-120.35,-2.09,2.41,"20 km SSW of Loyalton, CA"
mb90110993,2025-09-09T08:15:21.390Z,44.57,-112.21,7.64,1.87,"23 km N of Spencer, Idaho"
us7000quyj,2025-09-09T08:08:47.188Z,18.47,145.67,200.23,4.40,"Pagan region, Northern Mariana Islands"
ok2025rrfk,2025-09-09T08:08:31.440Z,36.51,-97.88,5.51,1.23,"5 km SW of Kremlin, Oklahoma"
hv74770947,2025-09-09T08:05:52.810Z,19.03,-155.41,34.50,2.33,"18 km ESE of Naalehu, Hawaii"
us7000quyf,2025-09-09T08:05:20.522Z,42.40,-126.56,10.00,3.10,"173 km WSW of Port Orford, Oregon"
tx2025rtjezw,2025-09-09T08:02:15.991Z,32.09,-102.03,8.37,1.80,"11 km NNE of Midland, Texas"
nc75235347,2025-09-09T07:58:00.220Z,38.82,-122.86,2.56,1.56,"10 km NW of The Geysers, CA"
hv74770922,2025-09-09T07:48:56.450Z,19.03,-155.41,35.50,2.60,"18 km ESE of Naalehu, Hawaii"
tx2025rtills,2025-09-09T07:37:51.773Z,31.92,-101.75,8.52,0.60,"23 km S of Stanton, Texas"
ci41286824,2025-09-09T07:33:52.130Z,36.04,-117.32,1.50,1.04,"31 km N of Trona, CA"
mb90110988,2025-09-09T07:33:14.730Z,44.56,-112.21,9.64,2.64,"22 km N of Spencer, Idaho"
ak025bkvp5wc,2025-09-09T07:17:13.562Z,61.44,-147.43,20.00,1.60,"42 km SSE of Glacier View, Alaska"
ci41286808,2025-09-09T07:09:57.730Z,35.90,-117.67,3.86,0.32,"22 km ESE of Little Lake, CA"
nc75235342,2025-09-09T07:09:04.940Z,40.27,-124.58,5.74,3.63,"26 km WSW of Petrolia, CA"
ci41286800,2025-09-09T07:07:47.080Z,35.90,-117.68,2.62,1.95,"21 km ESE of Little Lake, CA"
us7000quy7,2025-09-09T06:56:25.354Z,11.20,125.43,99.29,4.80,"9 km NNW of Giporlos, Philippines"
tx2025rthbit,2025-09-09T06:55:58.141Z,31.65,-104.28,8.25,1.30,"58 km S of Whites City, New Mexico"
mb90111913,2025-09-09T06:52:18.020Z,44.56,-112.21,6.35,0.98,"22 km N of Spencer, Idaho"
ak025bkvacie,2025-09-09T06:48:00.862Z,61.16,-148.24,32.60,1.20,"48 km NNE of Whittier, Alaska"
ak025bkva0yd,2025-09-09T06:46:51.097Z,61.24,-149.28,30.10,1.40,"18 km ESE of Eagle River, Alaska"
nc75235332,2025-09-09T06:43:03.880Z,37.55,-118.83,4.05,0.49,"13 km W of Toms Place, CA"
nc75235327,2025-09-09T06:41:39.600Z,36.29,-120.93,5.79,1.19,"20 km ENE of King City, CA"
ak025bkv83y3,2025-09-09T06:37:56.759Z,63.20,-150.70,31.90,1.20,"63 km SE of Denali National Park, Alaska"
av93757393,2025-09-09T06:27:22.880Z,60.06,-153.05,0.31,-0.57,"66 km ENE of Pedro Bay, Alaska"
av93757383,2025-09-09T06:16:05.080Z,60.06,-152.98,1.27,-0.51,"69 km ENE of Pedro Bay, Alaska"
hv74770837,2025-09-09T06:15:18.760Z,19.41,-155.29,0.99,1.12,"6 km SW of Volcano, Hawaii"
hv74770832,2025-09-09T06:15:18.570Z,19.40,-155.29,-0.34,1.90,"7 km SW of Volcano, Hawaii"
tx2025rtfmzs,2025-09-09T06:09:07.232Z,31.54,-104.03,6.87,1.30,"33 km NW of Toyah, Texas"
ok2025rrbh,2025-09-09T06:04:11.009Z,35.61,-98.05,6.46,1.38,"6 km E of Calumet, Oklahoma"
tx2025rtfiac,2025-09-09T06:03:28.975Z,31.67,-104.35,6.13,1.10,"56 km S of Whites City, New Mexico"
ci41286784,2025-09-09T06:02:40.670Z,33.78,-116.13,2.82,0.91,"10 km NE of Indio, CA"
ci41286776,2025-09-09T06:01:08.910Z,34.45,-117.91,9.08,0.93,"6 km S of Pearblossom, CA"
us7000quxl,2025-09-09T05:59:03.039Z,42.43,-126.49,11.24,4.90,"167 km WSW of Port Orford, Oregon"
mb90110978,2025-09-09T05:58:11.540Z,44.57,-112.21,6.44,1.03,"23 km N of Spencer, Idaho"
tx2025rtewga,2025-09-09T05:49:40.986Z,32.12,-101.50,7.20,0.70,"12 km W of Forsan, Texas"
ci41286768,2025-09-09T05:49:32.490Z,34.45,-117.91,8.79,3.25,"6 km S of Pearblossom, CA"
ci41286760,2025-09-09T05:46:34.750Z,35.75,-117.57,6.82,0.73,"15 km W of Searles Valley, CA"
ci41286752,2025-09-09T05:43:07.960Z,34.45,-117.91,9.43,1.24,"6 km S of Pearblossom, CA"
nc75235297,2025-09-09T05:41:41.770Z,38.83,-122.81,0.80,0.76,"7 km NNW of The Geysers, CA"
ak025bkunhiy,2025-09-09T05:41:34.980Z,61.27,-146.85,36.20,1.30,"30 km WNW of Valdez, Alaska"
ak025bkun906,2025-09-09T05:40:24.546Z,62.05,-149.74,39.90,1.80,"13 km SSE of Susitna North, Alaska"
nc75235287,2025-09-09T05:33:56.870Z,38.82,-122.80,4.16,0.26,"6 km NNW of The Geysers, CA"
ci41286744,2025-09-09T05:31:55.780Z,33.46,-116.42,13.25,0.77,"23 km N of Borrego Springs, CA"
nc75235282,2025-09-09T05:29:24.790Z,37.59,-122.46,8.29,0.52,"4 km SE of Pacifica, CA"
ok2025rraa,2025-09-09T05:25:42.929Z,35.61,-98.06,7.78,1.21,"5 km ENE of Calumet, Oklahoma"
ok2025rqzq,2025-09-09T05:13:40.640Z,36.51,-97.88,5.83,1.23,"5 km SW of Kremlin, Oklahoma"
nc75235277,2025-09-09T04:57:57.270Z,38.82,-122.76,2.23,0.25,"4 km W of Cobb, CA"
ak025bku59tv,2025-09-09T04:56:37.154Z,63.30,-149.05,84.20,1.10,"11 km SSW of Cantwell, Alaska"
nc75235272,2025-09-09T04:55:24.370Z,35.81,-121.35,5.59,1.48,"24 km NW of San Simeon, CA"
tx2025rtctsc,2025-09-09T04:46:29.074Z,31.72,-104.29,5.82,1.10,"51 km S of Whites City, New Mexico"
us7000qux5,2025-09-09T04:38:58.520Z,42.43,-126.56,10.00,3.30,"173 km WSW of Port Orford, Oregon"
uw62177127,2025-09-09T04:37:38.820Z,47.61,-122.58,19.63,1.10,"3 km NNE of Enetai, Washington"
uu80117016,2025-09-09T04:36:37.950Z,38.51,-112.91,2.49,1.37,"14 km NE of Milford, Utah"
us7000qux4,2025-09-09T04:33:38.040Z,48.94,155.99,29.98,4.90,"192 km S of Severo-Kuril’sk, Russia"
us7000qux3,2025-09-09T04:32:41.613Z,42.26,-126.43,10.00,2.70,"166 km W of Gold Beach, Oregon"
tx2025rtcgjj,2025-09-09T04:30:54.976Z,31.63,-104.36,7.13,0.90,"60 km S of Whites City, New Mexico"
uw62177122,2025-09-09T04:28:34.420Z,49.29,-122.46,14.10,2.43,"12 km NE of Maple Ridge, Canada"
tx2025rtccev,2025-09-09T04:26:15.502Z,31.63,-104.20,2.82,0.90,"52 km NW of Toyah, Texas"
nc75235262,2025-09-09T04:20:09.010Z,38.83,-122.79,1.56,0.24,"6 km WNW of Cobb, CA"
us7000qux0,2025-09-09T04:15:08.856Z,42.38,-126.56,10.00,4.40,"174 km WSW of Port Orford, Oregon"
tx2025rtbrea,2025-09-09T04:13:17.289Z,32.46,-102.12,4.47,1.00,"34 km SSW of Los Ybanez, Texas"
hv74770722,2025-09-09T04:09:31.360Z,19.45,-155.16,3.68,1.03,"3 km SW of Fern Forest, Hawaii"
tx2025rtbnpj,2025-09-09T04:09:09.276Z,31.61,-103.94,7.88,1.60,"34 km WSW of Mentone, Texas"
us7000quwy,2025-09-09T04:08:01.259Z,42.37,-126.44,13.84,5.80,"165 km WSW of Port Orford, Oregon"
ak025bktuszv,2025-09-09T04:07:53.395Z,62.33,-152.47,0.00,2.00,"67 km WNW of Skwentna, Alaska"
ci41286736,2025-09-09T04:04:47.310Z,35.90,-117.68,3.04,0.65,"21 km ESE of Little Lake, CA"
ak025bktkb7k,2025-09-09T03:58:57.280Z,64.87,-148.73,13.70,0.80,"34 km W of Ester, Alaska"
ci41286728,2025-09-09T03:58:10.990Z,32.63,-115.87,9.62,1.38,"17 km SE of Ocotillo, CA"
nc75235247,2025-09-09T03:53:43.270Z,37.55,-118.85,8.05,0.56,"15 km W of Toms Place, CA"
ci41286720,2025-09-09T03:51:53.370Z,35.90,-117.68,2.71,2.20,"21 km E of Little Lake, CA"
tx2025rtatdi,2025-09-09T03:45:21.190Z,28.70,-98.16,6.08,2.10,"16 km WNW of Pawnee, Texas"
av93757268,2025-09-09T03:45:17.780Z,61.31,-152.24,-0.26,-0.29,"64 km WNW of Beluga, Alaska"
av93757263,2025-09-09T03:40:00.240Z,58.24,-155.11,6.24,0.15,"84 km NNW of Karluk, Alaska"
tx2025rtalhz,2025-09-09T03:36:30.860Z,31.68,-104.48,3.64,1.40,"56 km S of Whites City, New Mexico"
ci41286712,2025-09-09T03:36:15.910Z,32.38,-116.94,12.44,1.00,"10 km ENE of Rosarito, B.C., MX"
uw62177102,2025-09-09T03:35:22.780Z,47.68,-123.00,4.75,0.00,"7 km W of Brinnon, Washington"
tx2025rtaisx,2025-09-09T03:33:18.874Z,31.72,-104.27,6.54,1.30,"51 km S of Whites City, New Mexico"
ci41286696,2025-09-09T03:20:43.340Z,35.05,-119.07,23.03,1.10,"17 km NW of Grapevine, CA"
mb90111908,2025-09-09T03:01:44.720Z,44.57,-112.21,5.58,1.27,"22 km N of Spencer, Idaho"
mb90111898,2025-09-09T02:59:00.380Z,44.57,-112.20,2.52,0.97,"22 km N of Spencer, Idaho"
tx2025rszbxc,2025-09-09T02:55:32.994Z,32.43,-102.14,5.98,0.50,"38 km SSW of Los Ybanez, Texas"
nn00904007,2025-09-09T02:48:34.766Z,41.19,-116.76,8.30,3.20,"53 km NE of Valmy, Nevada"
ak025bksurpn,2025-09-09T02:39:40.591Z,63.45,-151.31,0.00,1.40,"22 km ESE of Denali National Park, Alaska"
mb90111893,2025-09-09T02:39:05.370Z,44.57,-112.23,6.75,0.77,"23 km N of Spencer, Idaho"
ci41286688,2025-09-09T02:34:55.470Z,33.35,-116.82,6.71,0.76,"4 km E of Palomar Observatory, CA"
ok2025rqui,2025-09-09T02:33:41.020Z,35.61,-98.04,5.58,1.70,"6 km E of Calumet, Oklahoma"
ok2025rque,2025-09-09T02:28:02.209Z,35.62,-98.04,4.49,1.61,"7 km ENE of Calumet, Oklahoma"
nc75235227,2025-09-09T02:26:30.300Z,38.83,-123.64,5.28,1.47,"10 km SSE of Point Arena, CA"
av93049719,2025-09-09T02:14:08.440Z,53.87,-166.86,2.36,-0.26,"20 km W of Dutch Harbor, Alaska"
mb90111008,2025-09-09T02:13:34.330Z,44.38,-115.17,5.21,1.89,"25 km NW of Stanley, Idaho"
mb90110958,2025-09-09T02:13:15.670Z,44.57,-112.20,3.13,1.14,"22 km N of Spencer, Idaho"
us7000quwj,2025-09-09T02:13:11.221Z,51.36,158.94,46.06,4.50,"170 km E of Ozernovskiy, Russia"
us7000quwh,2025-09-09T02:09:33.082Z,6.29,-82.47,10.00,4.90,"197 km SSE of Burica, Panama"
us7000quwf,2025-09-09T02:07:34.684Z,18.83,-69.02,138.11,2.70,"7 km NNE of Santa Cruz de El Seibo, Dominican Republic"
ci41286664,2025-09-09T02:05:39.430Z,35.81,-118.03,11.75,1.22,"18 km SW of Little Lake, CA"
av93757198,2025-09-09T01:57:00.340Z,60.01,-153.07,-0.41,-0.98,"62 km ENE of Pedro Bay, Alaska"
ak025bksc4sq,2025-09-09T01:52:46.854Z,56.08,-153.19,23.20,3.00,"113 km SSE of Akhiok, Alaska"
ci41286656,2025-09-09T01:51:45.670Z,33.30,-116.84,11.93,1.11,"6 km SSE of Palomar Observatory, CA"
ak025bks9ws1,2025-09-09T01:42:08.495Z,60.03,-143.69,11.30,2.70,"127 km ESE of Cordova, Alaska"
ci41286648,2025-09-09T01:41:56.780Z,33.69,-116.79,17.72,0.87,"9 km SW of Idyllwild, CA"
ci41286640,2025-09-09T01:39:56.630Z,33.88,-116.88,14.15,0.72,"5 km S of Banning, CA"
av93049714,2025-09-09T01:36:13.210Z,58.43,-154.26,-1.52,-0.01,"89 km WNW of Aleneva, Alaska"
nc75235207,2025-09-09T01:28:42.480Z,40.31,-124.42,9.52,2.89,"12 km W of Petrolia, CA"
uw62176997,2025-09-09T01:19:16.290Z,45.37,-121.72,-0.78,0.25,"8 km NNE of Government Camp, Oregon"
nc75235202,2025-09-09T01:19:08.560Z,38.79,-122.75,1.39,0.78,"2 km NNE of The Geysers, CA"
nn00904032,2025-09-09T01:10:26.294Z,36.74,-116.17,4.30,0.10,"48 km WNW of Indian Springs, Nevada"
mb90110948,2025-09-09T01:09:35.170Z,44.84,-111.57,8.60,0.13,"31 km WNW of Hebgen Lake Estates, Montana"
nc75235197,2025-09-09T01:06:59.670Z,38.82,-122.80,2.49,1.03,"7 km NNW of The Geysers, CA"
ci41286624,2025-09-09T01:01:34.480Z,33.46,-117.02,16.21,1.44,"12 km NNE of Pala, CA"
ci41286608,2025-09-09T00:41:12.230Z,35.87,-117.68,8.79,1.10,"22 km ESE of Little Lake, CA"
ak025bkrnh7q,2025-09-09T00:37:42.468Z,59.45,-154.24,115.00,1.60,"18 km SE of Pope-Vannoy Landing, Alaska"
uw62176937,2025-09-09T00:36:05.150Z,46.33,-122.25,7.43,0.23,"25 km S of Morton, Washington"
ci41286592,2025-09-09T00:35:12.960Z,34.03,-118.37,10.56,1.24,"2 km ENE of Culver City, CA"
hv74770612,2025-09-09T00:33:44.400Z,19.19,-155.35,27.44,1.95,"13 km E of Pāhala, Hawaii"
nc75235187,2025-09-09T00:33:21.530Z,37.63,-122.48,8.05,0.62,"2 km NNE of Pacifica, CA"
uu80117001,2025-09-09T00:23:45.970Z,38.50,-112.91,1.99,1.50,"14 km NE of Milford, Utah"
ci41286584,2025-09-09T00:23:21.940Z,33.96,-116.99,6.88,0.87,"3 km NNW of Beaumont, CA"
us7000quwa,2025-09-09T00:23:16.401Z,49.80,155.90,65.00,4.70,"98 km S of Severo-Kuril’sk, Russia"
tx2025rstjng,2025-09-09T00:03:01.104Z,31.60,-104.11,2.86,1.20,"44 km NW of Toyah, Texas"
us7000quw6,2025-09-08T23:53:02.994Z,35.49,140.04,78.05,4.40,"5 km SW of Ichihara, Japan"
av93757138,2025-09-08T23:40:31.140Z,61.33,-152.19,1.63,-0.31,"63 km WNW of Beluga, Alaska"
nc75235172,2025-09-08T23:31:42.430Z,38.83,-122.81,1.56,1.23,"8 km NNW of The Geysers, CA"
uu80116996,2025-09-08T23:28:03.080Z,38.50,-112.91,2.45,0.51,"14 km NE of Milford, Utah"
ci41286552,2025-09-08T23:27:53.960Z,32.90,-116.95,5.59,1.36,"6 km NNW of Lakeside, CA"
ak025bjhp6o0,2025-09-08T23:19:15.523Z,60.05,-151.98,67.00,1.10,"17 km W of Ninilchik, Alaska"
nc75235167,2025-09-08T23:18:37.000Z,38.83,-122.88,2.28,0.49,"12 km E of Cloverdale, CA"
tx2025rsrtzu,2025-09-08T23:14:53.337Z,31.57,-104.18,6.63,1.80,"46 km NW of Toyah, Texas"
ak025bjhlqsj,2025-09-08T23:03:10.114Z,64.97,-147.39,5.30,1.20,"10 km E of Fox, Alaska"
ak025bjhll33,2025-09-08T23:02:36.157Z,60.91,-151.04,18.00,1.20,"18 km SSE of Tyonek, Alaska"
ci41286536,2025-09-08T23:01:32.600Z,33.96,-117.11,16.28,2.05,"7 km WSW of Calimesa, CA"
us7000quvz,2025-09-08T23:01:06.220Z,44.58,-112.22,6.76,2.50,"24 km N of Spencer, Idaho"
ci41286528,2025-09-08T22:59:41.190Z,32.33,-115.34,3.48,2.23,"14 km W of Delta, B.C., MX"
hv74770557,2025-09-08T22:55:38.690Z,19.33,-155.45,2.12,1.64,"14 km NNE of Pāhala, Hawaii"
av93757108,2025-09-08T22:54:59.500Z,60.07,-152.99,1.06,-0.25,"69 km ENE of Pedro Bay, Alaska"
nc75235157,2025-09-08T22:54:25.140Z,36.07,-120.21,8.97,1.98,"10 km NW of Avenal, CA"
ci41286520,2025-09-08T22:48:00.940Z,33.36,-116.38,12.73,0.75,"12 km N of Borrego Springs, CA"
ak025bjh7so2,2025-09-08T22:38:02.586Z,61.70,-150.98,52.70,1.10,"29 km NW of Susitna, Alaska"
us7000quvu,2025-09-08T22:33:19.587Z,16.27,-98.25,10.00,5.20,"4 km S of El Ciruelo, Mexico"
ak025bjh4nfp,2025-09-08T22:23:35.098Z,62.82,-149.64,69.70,2.00,"47 km NNE of Chase, Alaska"
ok2025rqmb,2025-09-08T22:22:55.350Z,35.61,-98.06,12.07,0.97,"5 km ENE of Calumet, Oklahoma"
tx2025rspzje,2025-09-08T22:20:43.526Z,31.61,-104.26,7.00,1.20,"55 km NW of Toyah, Texas"
ak025bjh3igy,2025-09-08T22:18:04.181Z,63.06,-144.31,6.00,1.90,"31 km WNW of Mentasta Lake, Alaska"
mb90110918,2025-09-08T22:12:21.630Z,44.69,-111.39,12.48,0.61,"17 km WSW of Hebgen Lake Estates, Montana"
hv74770507,2025-09-08T22:08:09.720Z,19.40,-155.30,0.98,0.79,"8 km SW of Volcano, Hawaii"
nc75235147,2025-09-08T21:53:25.130Z,38.79,-122.78,2.20,1.13,"2 km NW of The Geysers, CA"
tx2025rspaub,2025-09-08T21:52:16.515Z,31.70,-104.18,5.28,1.30,"55 km W of Mentone, Texas"
us7000quvp,2025-09-08T21:47:48.083Z,-21.03,173.71,10.00,6.40,Vanuatu region
us7000quvn,2025-09-08T21:44:52.727Z,59.57,-153.04,92.13,2.80,"64 km ESE of Pedro Bay, Alaska"
ci41286488,2025-09-08T21:32:16.150Z,33.87,-117.77,9.16,1.20,"4 km ESE of Yorba Linda, CA"
uw62185131,2025-09-08T21:29:57.570Z,48.08,-121.92,-1.09,1.44,"3 km E of Granite Falls, Washington"
av93757008,2025-09-08T21:28:33.590Z,59.95,-153.15,3.01,-0.25,"56 km ENE of Pedro Bay, Alaska"
us7000quvk,2025-09-08T21:27:56.354Z,38.25,24.13,10.00,5.00,"10 km NW of Néa Stíra, Greece"
uu80116981,2025-09-08T21:16:24.690Z,44.69,-110.02,13.34,1.98,"34 km S of Silver Gate, Montana"
uw62185126,2025-09-08T21:14:19.090Z,49.38,-120.48,-0.51,2.10,"8 km SSE of Princeton, Canada"
av93756973,2025-09-08T21:04:01.610Z,55.56,-161.85,7.66,1.05,"63 km NNE of King Cove, Alaska"
tx2025rsmynw,2025-09-08T20:49:14.427Z,31.67,-104.45,7.25,1.40,"57 km S of Whites City, New Mexico"
us7000quvd,2025-09-08T20:32:05.951Z,-17.90,-178.51,590.65,4.20,"230 km E of Levuka, Fiji"
uw62185096,2025-09-08T20:31:00.630Z,47.59,-123.82,-0.49,1.62,"15 km NNE of Amanda Park, Washington"
pr71495143,2025-09-08T20:29:36.360Z,18.19,-67.06,16.62,2.84,"8 km E of Mayagüez, Puerto Rico"
av93756918,2025-09-08T20:28:55.230Z,58.24,-155.10,4.89,-0.41,"83 km NNW of Karluk, Alaska"
ok2025rqid,2025-09-08T20:23:45.869Z,36.37,-95.71,0.00,1.18,"6 km NNE of Limestone, Oklahoma"
nc75235127,2025-09-08T20:19:36.800Z,38.82,-122.81,2.98,0.79,"7 km NNW of The Geysers, CA"
mb90110903,2025-09-08T20:15:20.590Z,44.32,-115.17,5.01,1.16,"21 km WNW of Stanley, Idaho"
ak025bjfuydy,2025-09-08T20:10:15.264Z,62.36,-151.21,86.10,2.00,"27 km SW of Petersville, Alaska"
ak025bjfudbp,2025-09-08T20:07:42.297Z,61.56,-151.52,66.10,1.00,"48 km S of Skwentna, Alaska"
nc75235122,2025-09-08T19:47:31.810Z,37.65,-119.47,21.72,1.54,"14 km SE of Yosemite Valley, CA"
tx2025rskqmx,2025-09-08T19:39:44.197Z,31.68,-104.42,6.10,1.40,"55 km S of Whites City, New Mexico"
tx2025rskpof,2025-09-08T19:38:29.934Z,31.66,-104.36,6.56,1.00,"57 km S of Whites City, New Mexico"
uw62185041,2025-09-08T19:36:03.460Z,46.48,-123.00,18.68,1.87,"4 km WSW of Winlock, Washington"
ak025bjfeiit,2025-09-08T19:33:48.323Z,56.11,-153.13,20.10,3.40,"112 km SE of Akhiok, Alaska"
tx2025rskgsr,2025-09-08T19:28:13.836Z,31.60,-104.19,6.52,1.70,"49 km NW of Toyah, Texas"
nc75235112,2025-09-08T19:26:23.370Z,36.15,-121.17,7.31,0.55,"7 km SSW of King City, CA"
pr71495133,2025-09-08T19:17:18.360Z,17.94,-66.93,12.72,2.15,"3 km SW of Guánica, Puerto Rico"
ci41286432,2025-09-08T19:12:52.890Z,35.90,-117.68,2.79,1.07,"21 km E of Little Lake, CA"
tx2025rsjoty,2025-09-08T19:07:40.483Z,31.61,-104.32,6.77,1.10,"59 km WNW of Toyah, Texas"
ci41286424,2025-09-08T19:02:41.220Z,35.90,-117.68,3.42,1.51,"21 km E of Little Lake, CA"
mb90110893,2025-09-08T19:00:51.760Z,46.01,-112.45,-2.00,1.76,"6 km E of Butte, Montana"
nc75235097,2025-09-08T18:59:14.660Z,38.84,-122.81,1.73,0.73,"8 km WNW of Cobb, CA"
us7000quup,2025-09-08T18:52:08.270Z,9.90,125.52,122.14,5.30,"10 km SW of Dinagat, Philippines"
uw62185006,2025-09-08T18:52:02.120Z,49.11,-122.02,10.10,1.61,"8 km SW of Chilliwack, Canada"
us7000quun,2025-09-08T18:38:22.388Z,-20.49,-178.50,589.97,4.40,Fiji region
ci41286408,2025-09-08T18:38:05.960Z,32.61,-116.98,2.77,1.13,"7 km ESE of Chula Vista, CA"
ci41286400,2025-09-08T18:37:54.240Z,33.03,-116.41,10.50,1.05,"19 km ESE of Julian, CA"
nc75235077,2025-09-08T18:35:48.260Z,40.74,-122.30,-0.44,1.59,"9 km NE of Shasta Lake, CA"
tx2025rsifvq,2025-09-08T18:27:00.946Z,31.67,-104.42,6.74,1.80,"55 km S of Whites City, New Mexico"
tx2025rsifjv,2025-09-08T18:26:20.615Z,31.67,-104.32,6.51,1.30,"56 km S of Whites City, New Mexico"
ok2025rqeg,2025-09-08T18:25:29.140Z,35.26,-95.37,0.00,1.92,"10 km SSE of Texanna, Oklahoma"
tx2025rsieov,2025-09-08T18:25:23.797Z,31.67,-104.41,6.61,1.10,"55 km S of Whites City, New Mexico"
us7000quul,2025-09-08T18:22:58.538Z,4.88,123.10,580.51,4.20,"184 km SE of Tabiauan, Philippines"
av93756763,2025-09-08T18:20:58.480Z,61.32,-152.27,-2.21,0.10,"66 km WNW of Beluga, Alaska"
tx2025rshych,2025-09-08T18:17:48.659Z,28.68,-99.14,8.45,1.90,"3 km ENE of Dilley, Texas"
nc75235057,2025-09-08T18:17:02.860Z,36.00,-121.01,8.07,0.93,"10 km WSW of San Ardo, CA"
av93756723,2025-09-08T17:52:54.480Z,57.59,-155.96,8.87,0.26,"86 km E of Ugashik, Alaska"
nc75235047,2025-09-08T17:43:19.210Z,38.83,-122.82,2.09,-0.18,"8 km NW of The Geysers, CA"
nc75235032,2025-09-08T17:37:53.200Z,36.76,-121.41,10.76,1.40,"7 km SW of Ridgemark, CA"
